hhid,plotid,cropid,sa3q1,sa3q2,sa3q3,sa3q4,sa3q4b,sa3q5a,sa3q5b,sa3q6a,sa3q6b,sa3q7,sa3q8a,sa3q8b,sa3q9,sa3q10,sa3q11a,sa3q11b,sa3q12,sa3q13,sa3q14,sa3q15a,sa3q15b,sa3q15c,sect4q16a,sa3q16b,sa3q17,sa3q18,sa3q19a,sa3q19b,sa3q20a,sa3q20b,sa3q21a,sa3q21b,sa3q22a,sa3q22b,sa3q23a,sa3q23b
10030.0,2.0,3.0,BANANA,2030.0,1.0,,,15.0,3.0,10.0,41.0,2.0,,,2.0,,,,,,,,,,,,,15000.0,0.0,,0.0,,0.0,,1.0,41.0,0.0,
10034.0,1.0,1.0,YAM,1120.0,1.0,,,80.0,3.0,1.0,11.0,2.0,,,2.0,,,,,,,,,,,,,1800.0,0.0,,0.0,,0.0,,0.0,,0.0,
10034.0,1.0,2.0,MAIZE,1080.0,1.0,,,,,1.0,11.0,2.0,,,2.0,,,,,,,,,,,,,500.0,0.0,,0.0,,0.0,,0.0,,0.0,
10034.0,1.0,3.0,PUMKIN,2193.0,1.0,,,,,2.0,61.0,2.0,,,2.0,,,,,,,,,,,,,100.0,0.0,,0.0,,0.0,,0.0,,0.0,
10034.0,1.0,4.0,MANGO,3160.0,1.0,,,,,2.0,21.0,2.0,,,1.0,N1,2.0,21.0,3000.0,1.0,2.0,,,,,,,4000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10034.0,1.0,5.0,COCONUT,3050.0,1.0,,,,,1.0,11.0,2.0,,,1.0,N2,1.0,11.0,2000.0,1.0,2.0,,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,
10039.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039.0,1.0,2.0,MAIZE,1080.0,1.0,,,30.0,3.0,20.0,1.0,2.0,,,2.0,,,,,,,,,,,,,500.0,0.0,,0.0,,0.0,,0.0,,0.0,
10061.0,1.0,1.0,GARDEN EGG,2080.0,1.0,,,3650.0,1.0,24.0,11.0,2.0,,,1.0,N1,10.0,11.0,18000.0,1.0,1.0,N2,,,10.0,11.0,18000.0,36000.0,0.0,,1.0,11.0,0.0,,2.0,11.0,1.0,11.0
10061.0,1.0,2.0,PEPPER,2140.0,1.0,,,300.0,1.0,21.0,11.0,2.0,,,1.0,N1,10.0,11.0,3000.0,1.0,1.0,N2,,,10.0,11.0,18000.0,3000.0,0.0,,,,,,,,,
10061.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061.0,2.0,2.0,MAIZE,1080.0,1.0,,,120.0,3.0,3.0,11.0,2.0,,,1.0,N1,3.0,11.0,2250.0,1.0,2.0,,,,,,,2250.0,0.0,,1.0,11.0,0.0,,0.0,,1.0,11.0
10061.0,3.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061.0,3.0,2.0,MAIZE,1080.0,1.0,,,150.0,3.0,4.0,11.0,2.0,,,1.0,N1,2.0,11.0,1500.0,1.0,2.0,,,,,,,3000.0,0.0,,1.0,11.0,0.0,,0.0,,1.0,11.0
10061.0,4.0,1.0,FALLOW FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062.0,1.0,2.0,MAIZE,1080.0,1.0,,,200.0,3.0,4.0,11.0,2.0,,,1.0,N1,2.0,11.0,3200.0,1.0,2.0,,,,,,,6400.0,0.0,,1.0,11.0,0.0,,0.0,,0.0,
10062.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062.0,2.0,2.0,YAM,1120.0,1.0,,,60.0,3.0,5.0,11.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
10062.0,3.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062.0,3.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062.0,4.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062.0,5.0,1.0,FALLOW FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
